%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
158.0, 14603.691053830511, 54893.47039383297, -52422.46269255432, -49031.479541239685, -49926.84572063038, -32294.783865783676, -43114.704562986444, -57617.92452549035, -44142.48247653037, -42744.64908178438, -94534.04331613104, -25622.184648774226, -50627.03646743733, -45458.79905924786, -61178.17743756503, -90293.78328249256, -0.062, 1.012, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321872413E9, 0.0, 2024-09-27 16:05:32.187
160.0, 14591.151725191085, 54845.36943976515, -52494.45766144487, -49050.143247859865, -49964.95544492667, -32296.259080917727, -43107.440246038466, -57608.98382770823, -44127.03742111176, -42729.159322876854, -94542.84990344643, -25623.7492708861, -50601.15314735808, -45448.360794587235, -61128.33304742969, -90293.38095109236, -0.074, 1.034, 0.038, 192.0, 126.5, 88.0, 16.0, 40.0, 0.5, 24.0, 0.0, 0.0, 0.0, 1.7274711321872532E9, 0.0, 2024-09-27 16:05:32.187
162.0, 14581.473419841937, 54815.708674872956, -52429.19056763537, -49072.42793708181, -49959.61337800186, -32344.5835524301, -43079.254696280324, -57601.808917738075, -44128.84791241264, -42747.55480856357, -94553.77990648507, -25664.250631839113, -50599.476766523934, -45455.75922200194, -61226.323095121756, -90308.69189604424, -0.074, 1.034, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132187266E9, 0.0, 2024-09-27 16:05:32.187
164.0, 14514.507593453836, 54718.255069047824, -52524.565461226164, -49132.86705408896, -50028.03206777955, -32365.8400614071, -43098.74541744535, -57614.392949866415, -44182.089767705176, -42719.19044484979, -94593.00721800415, -25679.561576791, -50633.76434251837, -45462.129469171705, -61201.02092039835, -90325.3662974079, -0.074, 1.034, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321872785E9, 0.0, 2024-09-27 16:05:32.187
166.0, 14456.594223570137, 54699.68076940546, -52437.23719563928, -49158.72802242375, -49971.906837452276, -32374.959573144864, -43037.658099849, -57577.22199883724, -44178.714654292424, -42749.05237544208, -94626.8924625984, -25719.66060634382, -50631.61857505066, -45471.94188498758, -61319.306352055835, -90344.94642555076, -0.074, 1.034, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321872947E9, 0.0, 2024-09-27 16:05:32.187
168.0, 14383.883998857022, 54618.633344010515, -52501.27494350373, -49217.446055107845, -50025.439265422734, -32368.946953886385, -43052.25378897831, -57583.547542518085, -44197.19954695697, -42792.079483518544, -94619.3822764614, -25786.268804820636, -50616.73231324343, -45482.62601883722, -61287.94685458504, -90353.26127448813, -0.074, 1.034, 0.038, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132187307E9, 0.0, 2024-09-27 16:05:32.187
170.0, 14353.083294997608, 54669.70708009089, -52430.196396135856, -49250.727802601796, -49999.935924999234, -32411.594082307114, -43020.246090918314, -57561.396963762876, -44204.77678832731, -42774.98039901023, -94659.1460298474, -25802.76439222865, -50623.90722321358, -45458.59789354776, -61431.66857143266, -90360.43618445829, -0.088, 1.076, 0.04, 192.0, 126.5, 32.0, 16.5, 80.0, 0.5, 32.0, 0.0, 0.0, 0.0, 1.7274711321873188E9, 0.0, 2024-09-27 16:05:32.187
172.0, 14323.690751038881, 54594.739329187796, -52496.044635301194, -49328.37776283953, -50076.08831835846, -32448.67562635847, -43045.99530053083, -57571.34349004549, -44222.25585249136, -42797.1533295099, -94648.70776518676, -25847.333770672532, -50620.107426656185, -45517.830016354324, -61404.53355366392, -90398.72472271022, -0.088, 1.076, 0.04, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321873333E9, 0.0, 2024-09-27 16:05:32.187
174.0, 14316.895820724467, 54505.242944388745, -52484.62289388453, -49382.96072279939, -50049.154466289816, -32471.764978380797, -43039.40153591651, -57588.84490595399, -44229.60957641716, -42815.012373329686, -94698.19452741081, -25860.275430712158, -50624.644830780606, -45489.26448694045, -61581.62642498332, -90398.9929436437, -0.088, 1.076, 0.04, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321873465E9, 0.0, 2024-09-27 16:05:32.187
176.0, 14353.709143842358, 54356.335622827486, -52513.9930860988, -49425.630202964574, -50101.39049308187, -32477.509376705813, -43046.5093906533, -57579.77009770514, -44227.55321592727, -42844.226103332774, -94655.592102479, -25869.73021861675, -50612.93251668603, -45517.137112276214, -61589.650701242776, -90404.89380417988, -0.088, 1.076, 0.04, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321873586E9, 0.0, 2024-09-27 16:05:32.187
